Variables,Tide,Time,Season,MeanValues,VarianceValues,MedianValues
NN,High,Day,FALL,0.2665,0.0417874358974359,0.22
NN,High,Day,SPRING,0.40439024390243905,0.139705243902439,0.21
NN,High,Night,FALL,0.525,0.708123076923077,0.245
NN,High,Night,SPRING,0.96425,2.214486602564103,0.215
NN,Low,Day,FALL,2.015,6.506902564102565,0.265
NN,Low,Day,SPRING,4.302972972972973,68.63109369369369,0.36
NN,Low,Night,FALL,3.19425,19.484948141025644,0.435
NN,Low,Night,SPRING,2.26775,11.831664038461541,0.265
Phosphate,High,Day,FALL,0.10975,4.178846153846152e-4,0.11
Phosphate,High,Day,SPRING,0.14219512195121953,9.225609756097562e-4,0.14
Phosphate,High,Night,FALL,0.1205,0.0012100000000000001,0.11
Phosphate,High,Night,SPRING,0.15225,0.003679423076923077,0.13
Phosphate,Low,Day,FALL,0.16475,0.01119480769230769,0.11499999999999999
Phosphate,Low,Day,SPRING,0.25,0.04628333333333333,0.14
Phosphate,Low,Night,FALL,0.21375,0.023516346153846148,0.14
Phosphate,Low,Night,SPRING,0.18175000000000002,0.011143012820512825,0.13
Silicate,High,Day,FALL,3.103,1.5536112820512824,2.84
Silicate,High,Day,SPRING,5.532926829268293,25.2849862195122,3.18
Silicate,High,Night,FALL,5.401750000000001,44.90766608974359,2.41
Silicate,High,Night,SPRING,7.806000000000001,60.45929641025641,4.505
Silicate,Low,Day,FALL,18.845750000000002,580.4675994230769,6.9350000000000005
Silicate,Low,Day,SPRING,38.07081081081081,2449.298913213213,10.78
Silicate,Low,Night,FALL,31.09375,2112.9471163461553,7.72
Silicate,Low,Night,SPRING,16.65125,436.90360608974356,4.425000000000001
pH,High,Day,FALL,8.14795,0.0017346641025640954,8.149000000000001
pH,High,Day,SPRING,8.162756097560976,0.009321189024390227,8.113
pH,High,Night,FALL,7.961969199225,9.493792595515771e-4,7.9679267075
pH,High,Night,SPRING,7.942628926725,0.0016656727674811212,7.943
pH,Low,Day,FALL,8.060649999999999,0.0034898743589743576,8.0725
pH,Low,Day,SPRING,8.023189189189189,0.00572465765765765,8.003
pH,Low,Night,FALL,7.982280327075,0.0010763384364165876,7.9785
pH,Low,Night,SPRING,7.993239611025,0.003690688645877809,8.0005
